

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
178.536  001.492  001.492: require('vim.filetype')
178.843  001.877  000.385: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.lua
180.515  001.214  001.214: require('indent_blankline.commands')
180.599  001.468  000.255: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
180.830  000.035  000.035: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/neoformat/plugin/neoformat.vim
181.107  000.096  000.096: require('cmp.utils.highlight')
181.409  000.479  000.384: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
181.687  000.179  000.179: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
182.009  000.094  000.094: require('nvim-treesitter.statusline')
182.201  000.189  000.189: require('nvim-treesitter.query_predicates')
182.204  000.375  000.092: require('nvim-treesitter')
182.666  000.871  000.495: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
182.892  000.134  000.134: require('nvim-treesitter-textobjects')
183.788  000.290  000.290: require('nvim-treesitter.textobjects.shared')
183.794  000.526  000.236: require('nvim-treesitter.textobjects.select')
184.117  000.126  000.126: require('nvim-treesitter.textobjects.attach')
184.310  000.190  000.190: require('nvim-treesitter.textobjects.repeatable_move')
184.318  000.494  000.179: require('nvim-treesitter.textobjects.move')
184.658  000.115  000.115: require('nvim-treesitter.textobjects.swap')
184.859  000.162  000.162: require('nvim-treesitter.textobjects.lsp_interop')
184.884  002.140  000.709: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
185.040  000.050  000.050: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
185.207  000.042  000.042: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
185.660  000.332  000.332: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
187.319  001.558  001.558: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
187.527  000.109  000.109: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/vim-rhubarb/plugin/rhubarb.vim
188.173  000.555  000.555: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/vim-sleuth/plugin/sleuth.vim
188.594  002.423: loading packages
189.484  000.061  000.061: require('cmp_buffer.timer')
189.491  000.319  000.258: require('cmp_buffer.buffer')
189.495  000.466  000.147: require('cmp_buffer.source')
189.501  000.510  000.044: require('cmp_buffer')
189.546  000.581  000.071: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
189.765  000.144  000.144: require('cmp_calc')
189.801  000.195  000.051: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/cmp-calc/after/plugin/cmp_calc.lua
190.019  000.072  000.072: require('cmp_emoji')
190.081  000.157  000.085: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/cmp-emoji/after/plugin/cmp_emoji.lua
190.400  000.122  000.122: require('cmp_nvim_lsp.source')
190.405  000.256  000.134: require('cmp_nvim_lsp')
190.423  000.285  000.029: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
190.596  000.106  000.106: require('cmp_nvim_lua')
190.639  000.163  000.057: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
190.933  000.225  000.225: require('cmp_path')
190.981  000.286  000.060: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
191.247  000.182  000.182: require('cmp_luasnip')
191.314  000.274  000.092: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
191.317  000.784: loading after plugins
191.342  000.025: inits 3
194.110  002.768: reading ShaDa
194.622  000.078  000.078: require('luasnip.nodes.snippetProxy')
194.631  000.308  000.230: require('luasnip.loaders.from_snipmate')
195.265  000.381  000.381: require('luasnip.util.jsonc')
195.271  000.620  000.239: require('luasnip.loaders.from_vscode')
195.795  000.757: opening buffers
195.886  000.091: BufEnter autocommands
195.890  000.004: editing files in windows
196.046  000.130  000.130: require('mason-core.terminator')
203.021  001.206  001.206: require('vim.diagnostic')
205.614  000.326  000.326: require('vim.fs')
206.203  000.042  000.042: require('gitsigns.signs.base')
206.207  000.108  000.066: require('gitsigns.signs')
206.273  000.063  000.063: require('gitsigns.status')
206.465  000.190  000.190: require('gitsigns.util')
206.472  000.703  000.340: require('gitsigns.hunks')
207.050  000.111  000.111: require('gitsigns.subprocess')
207.076  000.601  000.490: require('gitsigns.git')
207.081  001.430  000.126: require('gitsigns.cache')


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.082  000.076: event init
000.168  000.087: early init
000.316  000.148: locale set
000.352  000.036: init first window
000.609  000.257: inits 1
000.616  000.008: window checked
000.620  000.004: parsing arguments
001.001  000.059  000.059: require('vim.shared')
001.091  000.032  000.032: require('vim._meta')
001.093  000.089  000.057: require('vim._editor')
001.094  000.178  000.031: require('vim._init_packages')
001.096  000.297: init lua interpreter
001.507  000.411: expanding arguments
001.548  000.041: inits 2
001.870  000.322: init highlight
